Brand,MPN,VSN,InStock,Shipping Price,Title,Description,MSRP,Category,CategoryImage,Attributes,Main Image,ALT Image 1,ALT Image 2,ALT Image 3,ALT Image 4,ALT Image 5
Franke,GNX110-20,GNX11020,N,38.34,"Franke 20"" Undermount Single Bowl Stainless Steel Sink","EXTRA DEEP UNDERMOUNTS IN HEAVY-GRADE STAINLESS/ EASY FILLING, STACKING, OR MANEUVERING LARGE UTENSILS/ 18 GAUGE/ STAINLESS STEEL FINISH",949,Home & Fitness^Kitchen & Dining^Sinks & Faucets^Kitchen Sinks,https://content.abt.com/image.php?width=150&height=110&canvas&image=/images/dcat_sinks.jpg,Category^Single Bowl,https://content.abt.com/image.php/thumb1-28511.jpg?width=150&height=150&canvas&image=/images/products/l_gnx11020.jpg,https://content.abt.com/image.php/thumb1-28506.jpg?width=150&height=150&canvas&image=/images/products/l_arx1106.jpg,,,,
Franke,ARX1106,ARX1106,N,15.91,"Franke 7"" Undermount Single Bowl Stainless Steel Sink",ELEMENTS WORK IN TANDEM OR ALONE/ 20 GAUGE/ STAINLESS STEEL FINISH,379,Home & Fitness^Kitchen & Dining^Sinks & Faucets^Kitchen Sinks,https://content.abt.com/image.php?width=150&height=110&canvas&image=/images/dcat_sinks.jpg,Category^Single Bowl,https://content.abt.com/image.php/thumb1-28506.jpg?width=150&height=150&canvas&image=/images/products/l_arx1106.jpg,,,,,
Franke,PRX11021,PRX11021,N,27.72,Franke Undermount Stainless Single Bowl Sink,"18 GAUGE STEEL/ 24 "" BASE CABINET REQUIRED/ STAINLESS STEEL FINISH",729,Home & Fitness^Kitchen & Dining^Sinks & Faucets^Kitchen Sinks,https://content.abt.com/image.php?width=150&height=110&canvas&image=/images/dcat_sinks.jpg,Category^Single Bowl,https://content.abt.com/image.php/big-PRX11021.jpg?image=/images/products/BDP_Images/big-PRX11021.jpg&canvas=1&quality=100&width=400&height=400&ck=290,,,,,
Franke,ARX11014,ARX11014,N,15.91,"Franke 14"" Undermount Single Bowl Stainless Steel Sink",ELEMENTS WORK IN TANDEM OR ALONE/ 20 GAUGE/ STAINLESS STEEL FINISH,549,Home & Fitness^Kitchen & Dining^Sinks & Faucets^Kitchen Sinks,https://content.abt.com/image.php?width=150&height=110&canvas&image=/images/dcat_sinks.jpg,Category^Single Bowl,https://content.abt.com/image.php/big_arx11014.jpg?image=/images/products/BDP_Images/big_arx11014.jpg&canvas=1&quality=100&width=400&height=400&ck=290,,,,,
Dacor,REMP3,REMP3,Y,39.1,Dacor 600CFM External Remote Blower,REMOTE 600CFM BLOWER FOR USE WITH DACOR VENTILATION PRODUCTS,899,Appliances^Appliance Accessories^Range Hood Accessories,https://content.abt.com/image.php?width=150&height=110&canvas&image=/images/dcat_range_hood_accessories.jpg,,https://content.abt.com/image.php/thumb1-70822.jpg?width=150&height=150&canvas&image=/images/products/sorry-no-image-available.jpg,,,,,
Dacor,CABP3,CABP3,Y,22.32,Dacor 600CFM Internal Cabinet Blower,"600CFM/ DESIGNED TO FIT PREFERENCE RAISED VENTILATION SYSTEMS (RV30, RV36, RV46)",749,Appliances^Appliance Accessories^Range Hood Accessories,https://content.abt.com/image.php?width=150&height=110&canvas&image=/images/dcat_range_hood_accessories.jpg,,https://content.abt.com/image.php/thumb1-70819.jpg?width=150&height=150&canvas&image=/images/products/sorry-no-image-available.jpg,,,,,
Franke,GNX11028,GNX11028,N,27.5,"Franke 28"" Undermount Single Bowl Stainless Steel Sink","EXTRA DEEP UNDERMOUNTS IN HEAVY-GRADE STAINLESS HAVE PRACTICAL CORNER DRAINS THAT ARE OUT OF THE WAY FOR EASY FILLING, STACKING, OR MANEUVERING LARGE UTENSILS/ 18 GAUGE/ STAINLESS STEEL FINISH",1449,Home & Fitness^Kitchen & Dining^Sinks & Faucets^Kitchen Sinks,https://content.abt.com/image.php?width=150&height=110&canvas&image=/images/dcat_sinks.jpg,Category^Single Bowl,https://content.abt.com/image.php/big_gnx11028.jpg?image=/images/products/BDP_Images/big_gnx11028.jpg&canvas=1&quality=100&width=400&height=400&ck=290,,,,,
GE,JV635CWW,JV635WH,N,25.95,"GE Profile 30"" High Performance Range Wall Hood In White",VENTED/ VERTICAL AND REAR EXHAUST/ FOUR SPEED FAN CONTROL/ HALOGEN LIGHT/ REMOVABLE GREASE FILTER/ ROUND AND RECTANGULAR DUCTING/ WHITE FINISH,489,Appliances^Kitchen^Hoods & Downdrafts^Wall Hoods,https://content.abt.com/image.php?width=150&height=110&canvas&image=/images/dcat_wall_hoods.jpg,Manufacturer Model^JV635HWW~Style^Standard Hood~Mount Type^Under Cabinet~Venting Type^Ducted~Blower Type^Internal~Light Levels^2~Halogen Lighting^Yes~Fan Speeds^4~CFM^410~Height (inches)^4.75~Width (inches)^30~Depth (inches)^20~Parts Warranty^1 Year~Labor Warranty^1 Year~Blower Included^Yes~Type^Wall Hood,https://content.abt.com/image.php/big_jv635wh.jpg?image=/images/products/BDP_Images/big_jv635wh.jpg&canvas=1&quality=100&width=400&height=400&ck=290,,,,,
Franke,PRX160,PRX160,N,31.85,Franke Prestige Plus Stainless Steel Undercounter Sink,"ELLIPTICAL SIDE COMPARTMENT/ 18 GAUGE/ 36 "" BASE CABINET REQUIRED/ STAINLESS STEEL FINISH",999,Home & Fitness^Kitchen & Dining^Sinks & Faucets^Kitchen Sinks,https://content.abt.com/image.php?width=150&height=110&canvas&image=/images/dcat_sinks.jpg,Category^Double Bowl,https://content.abt.com/image.php/thumb1-26638.jpg?width=150&height=150&canvas&image=/images/products/l_prx160.jpg,,,,,
